MCU_ID,APPLICATION,RAM_KB,FLASH_KB,UART,I2C,SPI,GPIO,CLOCK_MHZ,ACTIVE_CURRENT_mA,COST_USD,COST_POWER_INDEX,EFFICIENCY_SCORE_0_100,SUITABLE
MCU_1,APP_1,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_2,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_3,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_4,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_5,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_6,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_7,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_8,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_9,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_10,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_11,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,1
MCU_1,APP_12,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_13,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_14,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
MCU_1,APP_15,4,1024,6,2,0,95,32,32.779891509289804,4.7420622601563265,0.15121039534846498,86.86509468995072,0
